country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117,0.113,0.109,0.072,0.225,0.021,-0.0216,0.0381,0.166,0.073,0.0482,0.00567,0.0245,0.051,0.0195,0.00792
Albania,,,,,,,,,,,,,,,,,,,,,-0.0214,-0.000177,-0.000168,-0.000284,0.00351,-0.0242,-0.0000031,-0.0000058,0.0000368,-0.00431,0.355,2.33,1.26,0.358,0.0997,0.382,0.112,0.0673,0.021,0.0564,0.0381,0.0364,0.052,0.0316,0.033,0.0248,0.0439,0.0412,0.0242,0.0449,0.0231,0.0104,0.00289,0.0155,0.00564,-0.00632,0.0147,0.00948
Algeria,0.0347,0.0235,0.00549,0.017,0.015,0.0182,0.0131,0.0314,0.0192,0.0494,0.172,-0.0461,0.0963,0.489,0.0591,0.108,0.119,0.101,0.14,0.259,0.144,0.0194,0.068,0.0843,0.0497,0.0241,0.0884,0.0906,0.16,0.303,0.538,0.219,0.136,0.291,0.286,0.24,0.07,-0.0313,0.109,0.227,-0.00468,0.0132,0.0834,0.122,0.161,0.105,0.0639,0.153,-0.112,0.161,0.182,0.0746,-0.000953,-0.00301,-0.0646,0.0155,0.047,0.0756
Andorra,,,,,,,,,,,0.0785,0.0852,0.118,0.159,0.168,0.165,0.234,0.206,0.169,0.134,0.124,0.136,0.119,0.109,0.086,0.109,0.0594,0.0594,0.069,0.0733,0.0694,0.0671,0.0454,0.0388,0.0493,0.00797,0.0223,0.015,0.0273,0.292,0.0277,0.034,0.0288,0.0335,0.031,0.032,0.0387,0.0198,-0.0000001,0.016,0.025,0.011,0.0000036,-0.001,-0.00455,0.007,0.0106,0.00896
Angola,,,,,,,,,,,,,,,,,,,,,-0.021,0,0.000128,0.0000119,0.19,-0.0901,0.0982,0.0221,0.163,0.14,1.06,4.77,9.18,21.8,18.3,48,0.955,0.394,5.58,4.18,1.06,1.97,0.939,0.334,0.424,0.171,0.0431,0.194,-0.168,0.317,0.318,0.0726,0.0284,0.0356,-0.0352,0.218,0.226,0.348
Antigua and Barbuda,,,,,,,,,,,,,,,,,,0.0864,0.148,0.114,0.0835,0.113,0.0517,0.0384,0.0741,0.0812,0.0888,0.124,0.0458,0.0165,0.0261,0.0246,0.0181,0.0325,0.024,0.0298,0.0183,0.0211,0.015,0.0155,0.0148,0.00702,-0.00963,0.0164,0.0446,0.00408,0.0374,0.0438,0.0179,0.0152,0.0102,0.0204,-0.00947,0.0191,0.0302,0.0187,-0.00931,0.0216
Argentina,0.203,0.289,0.256,0.288,0.212,0.256,0.29,0.103,0.078,0.0647,0.313,0.642,0.655,0.306,1.98,4.38,1.59,1.61,1.47,0.958,1.05,1.95,3.8,6.11,6.07,0.773,1.28,3.81,30.5,20.8,1.41,0.161,-0.0356,0.0285,0.0317,-0.000524,-0.00464,-0.0171,-0.0184,0.0104,-0.011,0.306,0.105,0.184,0.103,0.137,0.149,0.232,0.154,0.209,0.237,0.223,0.239,0.403,0.266,0.411,0.26,0.407
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.794,5.69,13.9,41.1,1.61,0.196,0.177,0.107,0.000538,-0.0137,0.0407,0.0237,0.0456,0.0631,0.0324,0.0462,0.0423,0.0599,0.0256,0.0777,0.0428,0.0535,0.0337,0.0231,0.0121,0.00269,0.0215,0.0258
Australia,0.0322,-0.000754,0.0179,0.0328,0.0298,0.0269,0.0487,0.0225,0.0475,0.0513,0.0519,0.0619,0.0898,0.164,0.165,0.14,0.114,0.0824,0.0863,0.1,0.0953,0.117,0.102,0.0786,0.0463,0.0646,0.0705,0.0721,0.0925,0.0609,0.0304,0.015,0.00894,0.0102,0.0226,0.027,0.0123,0.0127,0.00357,0.0258,0.0462,0.0286,0.0311,0.0331,0.038,0.0509,0.0501,0.0453,0.05,0.0117,0.0625,0.0186,-0.00124,0.0148,-0.0055,-0.00533,0.0374,0.0189
Austria,0.0509,0.0334,0.0368,0.0318,0.0532,0.0312,0.0325,0.0284,0.0273,0.0645,0.062,0.076,0.0805,0.095,0.0646,0.0562,0.052,0.0599,0.0411,0.0558,0.0672,0.0536,0.0347,0.0495,0.0296,0.0295,0.0244,0.0153,0.0296,0.03,0.0364,0.0348,0.0276,0.0252,0.0181,0.00986,0.0127,0.00442,0.00256,0.0136,0.0195,0.0115,0.0131,0.0174,0.0254,0.0189,0.0222,0.0196,0.0189,0.00873,0.0183,0.0205,0.0162,0.0218,0.023,0.0167,0.0113,0.017
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.835,10.7,7.47,13.9,5.46,0.264,0.0924,-0.00965,0.0216,0.125,0.0252,0.0421,0.0696,0.0925,0.147,0.113,0.206,0.28,-0.189,0.138,0.246,0.0284,0.00414,-0.0133,-0.0881,0.146,0.167,0.119
Bahamas,0.0116,0.0109,0.0134,0.0151,0.0201,0.0377,0.0471,0.0516,0.0893,0.0615,0.0458,0.0679,0.0555,0.132,0.107,0.0239,0.0173,0.0225,0.0855,0.1,0.177,0.037,0.0598,0.0317,0.0846,0.0466,0.0659,0.0148,0.0181,0.0507,0.0256,0.0391,-0.00852,0.0218,0.00802,0.00984,0.719,0.0305,0.0495,0.00922,0.00353,0.0396,0.0115,0.0119,0.0506,0.00828,0.0295,0.0149,-0.0104,-0.00393,-0.00858,0.0327,0.0153,0.0256,0.0705,0.0113,0.0171,0.00679
Bahrain,,,,,,,,,,,,,,,,,,,,,0.189,0.137,-0.0369,-0.00418,-0.0182,-0.174,0.00659,0.0201,0.0397,0.0483,-0.0188,-0.0353,-0.0303,0.0733,0.0109,0.00197,0.00932,-0.0706,0.0266,0.3,-0.0336,0.0341,0.086,0.11,0.137,0.0884,0.0844,0.114,-0.13,0.0744,0.0974,0.0301,0.00384,-0.0167,-0.0937,0.00134,0.0584,0.0467
Bangladesh,0.0626,0.000222,0.0516,-0.0874,0.0793,0.063,0.148,-0.0577,0.118,0.0051,0.0296,0.044,0.614,0.445,0.806,-0.176,-0.0321,0.256,0.126,0.176,0.0989,0.0986,0.0849,0.0788,0.185,0.0825,0.111,0.075,0.0834,0.0653,0.0273,0.0258,0.00156,0.0397,0.0714,0.191,0.038,0.0474,0.0378,0.0345,0.0326,0.0389,0.0582,0.0456,0.0459,0.0588,0.0647,0.0786,0.0676,0.0714,0.0786,0.0816,0.0717,0.0567,0.0587,0.0673,0.0628,0.056
Barbados,,,,,,,,,,,,,,,0.294,0.0302,0.0975,0.0672,0.124,0.23,0.122,0.0987,0.0565,0.052,0.0353,0.0446,0.0734,0.0276,0.0674,0.228,0.0322,0.0249,0.0465,0.0306,0.0307,0.0255,0.00914,0.087,0.0444,-0.0134,0.0226,0.00904,0.0112,0.0582,0.0668,0.0241,0.088,0.0145,-0.0191,0.0369,0.0364,-0.00956,0.0287,0.00579,-0.0155,0.00151,0.0326,0.0363
